Target,Source,Weight
be,stanza,1947
stanza,men,1664
stanza,god,1266
stanza,brahma,1233
dharmaparyâya,stanza,1032
lord,guid,1180
monk,guid,1219
forth,law,1038
singl,lord,1561
singl,law,1696
singl,buddha,1122
singl,world,1114
lord,earth,1777
great,earth,1010
bodhisattva,earth,1832
law,earth,1669
good,earth,1015
tathâgata,earth,1788
earth,world,1440
lord,fill,1219
delight,lord,1621
delight,bodhisattva,1022
delight,law,1568
delight,buddha,1091
delight,tathâgata,1105
delight,world,1160
differ,lord,1694
great,differ,1056
differ,law,2036
differ,buddha,1036
tathâgata,differ,1820
differ,world,1571
gold,buddha,1162
lord,gold,2463
bodhisattva,gold,1309
gold,law,1684
tathâgata,gold,1425
gold,world,1259
lord,far,1728
law,far,1703
tathâgata,far,1741
far,world,1219
be,born,1122
be,place,1328
leav,lord,1269
leav,law,1063
leav,tathâgata,1018
born,lord,2436
monk,born,1169
born,great,1283
born,thousand,1213
born,bodhisattva,1083
born,enlighten,1237
born,law,2523
born,buddha,1361
born,tathâgata,2197
born,world,1898
born,koti,1091
men,born,1108
lord,happi,1739
law,happi,1574
tathâgata,happi,1387
happi,world,1193
low,lord,1180
lord,intermedi,2325
monk,intermedi,1453
great,intermedi,1341
thousand,intermedi,1448
bodhisattva,intermedi,1119
enlighten,intermedi,1066
law,intermedi,1856
buddha,intermedi,1431
tathâgata,intermedi,1507
world,intermedi,1522
koti,intermedi,1249
time,place,1011
lord,place,3537
monk,place,1680
great,place,1551
thousand,place,1543
bodhisattva,place,1470
enlighten,place,1525
law,place,2888
buddha,place,1634
tathâgata,place,2635
world,place,2170
koti,place,1421
men,place,1121
buddha,reveal,1644
buddha,show,1073
creatur,buddha,4506
voic,buddha,1236
lord,reveal,2181
great,reveal,1114
sâriputra,reveal,1079
thousand,reveal,1291
bodhisattva,reveal,1095
enlighten,reveal,1433
law,reveal,2598
tathâgata,reveal,2197
reveal,world,1767
koti,reveal,1242
be,reveal,1019
men,reveal,1109
lord,show,1634
bodhisattva,show,1204
law,show,1835
tathâgata,show,1376
show,world,1298
creatur,law,7113
law,sound,1117
voic,law,1982
proclaim,law,1055
law,mean,3208
creatur,koti,3241
koti,mean,1012
creatur,time,2018
creatur,lord,6548
creatur,monk,2464
creatur,knowledg,2432
creatur,like,1063
creatur,great,2900
creatur,have,1189
creatur,reach,1649
creatur,exist,1110
creatur,perfect,1617
creatur,discipl,1448
creatur,sâriputra,3301
creatur,thousand,3393
creatur,bodhisattva,3826
creatur,suprem,1692
creatur,enlighten,3579
creatur,good,2778
creatur,bodi,1155
creatur,tathâgata,6618
creatur,world,5272
creatur,myriad,1447
creatur,be,2911
creatur,mahâsattva,1455
creatur,men,2787
creatur,god,1827
creatur,follow,1499
creatur,son,1206
creatur,expound,1029
creatur,dharmaparyâya,1149
creatur,appear,1127
creatur,live,1150
creatur,preach,2139
creatur,cours,1014
creatur,nirvâna,1077
creatur,let,1060
creatur,gina,1423
creatur,stanza,1145
creatur,creatur,1513
lord,sound,1047
bodhisattva,sound,1182
tathâgata,sound,1006
voic,lord,2127
voic,great,1140
voic,bodhisattva,1184
voic,tathâgata,1608
voic,world,1583
voic,be,1020
lord,sublim,1048
buddha,mean,1753
buddha,ignor,1224
buddha,rest,1003
buddha,sai,1025
law,ignor,2141
birth,law,1363
announc,law,1208
rest,law,1871
law,sai,1679
lord,mean,2147
knowledg,mean,1071
great,mean,1331
sâriputra,mean,1515
bodhisattva,mean,1101
enlighten,mean,1340
tathâgata,mean,2290
world,mean,2253
be,mean,1323
men,mean,1031
lord,ignor,1729
sâriputra,ignor,1094
tathâgata,ignor,1583
ignor,world,1634
mind,vehicl,1217
birth,lord,1460
tathâgata,birth,1190
birth,world,1129
old,lord,1312
lord,ag,1140
lord,announc,1295
lord,rest,1738
monk,rest,1020
great,rest,1014
tathâgata,rest,1486
rest,world,1476
lord,sai,1825
tathâgata,sai,1304
world,sai,1161
monk,vehicl,1774
monk,sugata,1519
strength,law,1161
lord,acquir,1696
bodhisattva,acquir,1235
law,acquir,1744
tathâgata,acquir,1437
acquir,world,1155
merit,lord,1202
thousand,merit,1025
bodhisattva,merit,1705
merit,law,1036
merit,good,1280
mahâsattva,merit,1193
lord,virtu,1239
bodhisattva,virtu,1039
law,virtu,1147
tathâgata,virtu,1153
buddha,vehicl,4512
sugata,buddha,2965
buddha,superior,1283
hear,buddha,3250
vehicl,time,1928
lord,vehicl,5544
knowledg,vehicl,2701
vehicl,like,1559
great,vehicl,3160
have,vehicl,1492
reach,vehicl,1868
perfect,vehicl,1240
vehicl,discipl,1505
sâriputra,vehicl,4630
thousand,vehicl,2455
bodhisattva,vehicl,2932
suprem,vehicl,1716
vehicl,enlighten,3193
vehicl,law,7153
vehicl,good,1528
tathâgata,vehicl,5397
vehicl,world,5251
koti,vehicl,2596
be,vehicl,2927
men,vehicl,2266
god,vehicl,1520
vehicl,follow,1258
vehicl,son,1204
vehicl,expound,1065
vehicl,live,1228
preach,vehicl,1811
cours,vehicl,1027
nirvâna,vehicl,1459
vehicl,gina,1306
creatur,vehicl,2152
vehicl,mean,1276
vehicl,vehicl,1918
sugata,vehicl,1023
hear,vehicl,1511
pratyekabuddha,lord,1224
pratyekabuddha,law,1493
pratyekabuddha,tathâgata,1295
pratyekabuddha,world,1116
lord,rule,1352
rule,law,1350
tathâgata,rule,1008
sugata,law,4059
law,superior,2163
constantli,law,1022
hear,law,5611
law,thing,1899
sugata,son,1021
hear,son,1207
sugata,time,1100
sugata,lord,3598
sugata,knowledg,1340
sugata,great,1974
sâriputra,sugata,1555
sugata,thousand,2328
sugata,bodhisattva,2227
sugata,suprem,1122
sugata,enlighten,2127
sugata,good,1146
sugata,tathâgata,3000
sugata,world,2487
sugata,koti,2058
be,sugata,1580
sugata,men,1533
sugata,god,1226
sugata,gina,1057
creatur,sugata,1241
lord,superior,1935
great,superior,1004
thousand,superior,1043
bodhisattva,superior,1218
enlighten,superior,1179
tathâgata,superior,1764
world,superior,1496
koti,superior,1036
knowledg,hear,1691
hear,enlighten,2658
sand,enlighten,1482
gang,enlighten,1464
hear,time,1768
lord,hear,5721
monk,hear,1677
hear,like,1037
great,hear,3181
have,hear,1113
reach,hear,1300
perfect,hear,1930
hear,discipl,1315
sâriputra,hear,1651
thousand,hear,2921
bodhisattva,hear,4501
suprem,hear,1465
hear,good,2951
bodi,hear,1393
tathâgata,hear,5213
hear,world,4249
myriad,hear,1142
koti,hear,2766
be,hear,2521
mahâsattva,hear,1858
men,hear,2034
god,hear,1588
hear,follow,1303
dharmaparyâya,hear,1968
preach,hear,1836
let,hear,1057
stanza,hear,1290
creatur,hear,1796
merit,hear,1023
hear,hear,1650
lord,thing,1523
tathâgata,thing,1375
thing,world,1129
sand,thousand,1951
gang,thousand,1988
sand,koti,1577
gang,koti,1594
sand,bodhisattva,3033
gang,bodhisattva,3211
sand,lord,3719
sand,monk,1200
sand,great,1579
sand,law,2353
sand,buddha,1589
sand,good,1234
sand,tathâgata,2984
sand,world,2073
sand,mahâsattva,1188
sand,men,1094
gang,lord,3845
gang,monk,1179
gang,great,1612
gang,law,2334
gang,buddha,1563
gang,good,1182
gang,tathâgata,2870
gang,world,2106
gang,mahâsattva,1258
gang,men,1073
law,accord,1486
lord,adorn,1012
think,enlighten,1123
lord,think,2982
great,think,1164
thousand,think,1076
bodhisattva,think,1871
law,think,2217
buddha,think,1254
good,think,1390
tathâgata,think,1889
think,world,1665
mahâsattva,think,1165
avalokitesvara,think,1085
excel,lord,1700
excel,bodhisattva,1154
excel,law,1443
excel,buddha,1063
excel,tathâgata,1166
excel,world,1111
preciou,world,1947
substanc,world,1530
preciou,buddha,1552
substanc,buddha,1313
buddha,children,1052
vehicl,children,1113
preciou,lord,3101
great,preciou,1333
thousand,preciou,1492
bodhisattva,preciou,1755
preciou,enlighten,1003
preciou,law,2308
preciou,good,1004
tathâgata,preciou,2485
koti,preciou,1122
substanc,lord,2453
substanc,great,1116
substanc,thousand,1251
substanc,bodhisattva,1550
substanc,law,2006
substanc,tathâgata,2037
lord,children,1559
sâriputra,children,1351
law,children,1372
tathâgata,children,1018
children,world,1337
hand,lord,2913
hand,great,1119
hand,thousand,1275
hand,bodhisattva,2103
hand,enlighten,1079
hand,law,2168
hand,buddha,1337
hand,good,1247
hand,tathâgata,2226
hand,world,1561
hand,koti,1024
hand,men,1053
feet,lord,1550
feet,law,1096
feet,tathâgata,1032
lord,strive,1635
bodhisattva,strive,1254
law,strive,1573
tathâgata,strive,1444
strive,world,1058
sake,tathâgata,1242
lord,behold,1008
left,lord,1083
sake,world,1113
lord,ask,1148
sake,law,1340
sake,lord,1612
arriv,bodhisattva,1771
monk,forest,1244
monk,arriv,1246
forest,lord,1299
tathâgata,forest,1020
arriv,buddha,1232
sphere,buddha,1067
true,buddha,2988
true,knowledg,1046
arriv,lord,3190
arriv,great,1234
arriv,thousand,1559
arriv,enlighten,1268
arriv,law,2324
arriv,good,1077
arriv,tathâgata,2740
arriv,world,1979
arriv,koti,1263
men,arriv,1038
lord,desir,1410
desir,law,1474
tathâgata,desir,1143
desir,world,1173
sphere,lord,1997
monk,sphere,1606
great,sphere,1004
thousand,sphere,1132
sphere,enlighten,1180
sphere,law,2324
tathâgata,sphere,1727
sphere,world,1448
koti,sphere,1129
true,time,1528
true,lord,6534
true,monk,2159
true,great,2717
true,have,1036
true,perfect,1256
true,discipl,1300
true,thousand,3209
true,bodhisattva,4520
true,suprem,1293
true,enlighten,2014
true,law,5312
true,good,2372
true,bodi,1162
true,tathâgata,4912
true,world,3614
true,myriad,1241
true,koti,2276
be,true,1826
true,mahâsattva,1981
true,men,1955
true,god,1373
true,follow,1214
king,true,1374
dharmaparyâya,true,1852
true,field,1368
true,preach,1239
true,true,1098
join,lord,1823
join,bodhisattva,1297
join,law,1385
join,tathâgata,1496
join,world,1041
respect,lord,1561
respect,bodhisattva,1229
respect,law,1771
respect,buddha,1135
respect,tathâgata,1519
respect,world,1161
leader,lord,3882
monk,leader,2277
leader,knowledg,1256
leader,great,2006
sâriputra,leader,1027
leader,thousand,2482
leader,bodhisattva,2005
leader,suprem,1081
leader,enlighten,2213
leader,law,3507
leader,buddha,2356
leader,tathâgata,3159
leader,world,2620
leader,myriad,1101
leader,koti,2239
be,leader,1600
men,leader,1380
leader,god,1098
creatur,leader,1019
lead,lord,1390
lead,law,1777
lead,buddha,1022
tathâgata,lead,1337
lead,world,1193
thousand,highest,1117
complet,thousand,2685
highest,lord,1772
highest,great,1130
sâriputra,highest,1179
highest,bodhisattva,1067
highest,enlighten,1238
highest,law,2607
highest,buddha,1739
highest,tathâgata,1721
highest,world,1555
highest,koti,1061
men,complet,1564
memori,law,1131
complet,law,3839
memori,lord,1113
memori,bodhisattva,1091
memori,tathâgata,1022
complet,time,1173
complet,lord,4901
monk,complet,2311
complet,knowledg,1249
complet,great,2163
complet,perfect,1217
sâriputra,complet,1170
complet,bodhisattva,2713
complet,suprem,1289
complet,enlighten,2232
complet,buddha,2580
complet,good,1491
complet,tathâgata,4177
complet,world,3244
complet,myriad,1235
complet,koti,2420
be,complet,1751
complet,god,1149
dharmaparyâya,complet,1161
creatur,complet,1092
complet,vehicl,1114
rous,law,1199
evil,law,1710
law,conduct,1355
rous,lord,1222
rous,tathâgata,1034
host,bodhisattva,1302
bodhisattva,conduct,1088
evil,lord,1732
evil,tathâgata,1438
evil,world,1455
host,lord,1424
host,tathâgata,1211
lord,conduct,1199
tathâgata,conduct,1021
lord,command,1212
walk,lord,1159
walk,law,1083
bodhisattva,keep,1035
law,keep,1201
tathâgata,keep,1056
enlighten,attain,1140
lord,consist,1231
monk,attain,1528
lord,attain,2089
great,attain,1067
thousand,attain,1138
law,attain,1947
tathâgata,attain,1638
world,attain,1333
koti,attain,1034
bodhisattva,year,1211
pleasur,lord,1073
pleasur,law,1203
lord,year,1746
law,year,1016
tathâgata,year,1124
presenc,lord,1546
presenc,law,1199
tathâgata,presenc,1171
lord,food,1246
lord,hundr,1483
law,hundr,1545
tathâgata,hundr,1214
hundr,world,1134
lord,cloth,1214
koti,present,1064
lord,present,2675
monk,present,1178
great,present,1152
thousand,present,1283
bodhisattva,present,1236
present,enlighten,1071
present,law,2185
buddha,present,1276
tathâgata,present,2015
present,world,1660
order,lord,2232
order,bodhisattva,1264
order,law,1831
order,buddha,1009
order,tathâgata,1904
order,world,1406
law,scienc,1025
understand,law,2741
koti,understand,1007
be,understand,1109
understand,enlighten,1296
lord,scienc,1326
lord,understand,1975
great,understand,1089
sâriputra,understand,1359
buddha,understand,1516
tathâgata,understand,2078
understand,world,1896
understand,vehicl,1032
sky,law,1300
sky,lord,1975
thousand,sky,1017
bodhisattva,sky,1195
tathâgata,sky,1564
sky,world,1059
lord,seven,1978
bodhisattva,seven,1354
seven,law,1301
tathâgata,seven,1454
seven,world,1052
yogana,lord,1560
yogana,law,1138
tathâgata,yogana,1188
men,tree,1244
lord,space,1872
bodhisattva,space,1042
law,space,1923
buddha,space,1063
tathâgata,space,1797
space,world,1353
lord,tree,3029
monk,tree,1060
great,tree,1637
thousand,tree,1537
bodhisattva,tree,1585
enlighten,tree,1372
law,tree,3201
buddha,tree,1586
good,tree,1110
tathâgata,tree,2948
world,tree,2457
koti,tree,1214
be,tree,1341
know,world,3288
thousand,know,1574
know,great,2210
know,buddha,2218
doubt,buddha,1323
know,time,1150
know,lord,3426
monk,know,1539
know,knowledg,1411
know,reach,1121
know,perfect,1045
know,discipl,1066
know,kâsyapa,1028
sâriputra,know,1326
know,bodhisattva,1700
know,enlighten,1958
know,law,4577
know,good,1465
know,tathâgata,3500
know,koti,1566
be,know,2082
men,know,1803
know,god,1308
know,preach,1316
creatur,know,1328
know,vehicl,1406
know,hear,1356
lord,hero,1150
doubt,lord,1739
doubt,sâriputra,1174
doubt,bodhisattva,1271
doubt,law,1703
doubt,tathâgata,1563
doubt,world,1266
lord,light,1101
terrac,world,1071
futur,world,1263
lord,terrac,1486
futur,lord,1951
terrac,law,1245
futur,law,1740
law,gem,1092
tathâgata,terrac,1269
sight,bodhisattva,1087
futur,buddha,1347
futur,tathâgata,1405
lord,gem,1147
sight,buddha,1056
sight,lord,1990
sight,law,1673
sight,tathâgata,1692
sight,world,1340
men,word,1477
young,princ,1650
word,bodhisattva,2164
bodhisattva,young,10235
famili,bodhisattva,7612
mahâsattva,young,5532
famili,mahâsattva,4209
word,time,1070
word,lord,3696
monk,word,1179
great,word,1510
sâriputra,word,1023
thousand,word,1633
word,enlighten,1651
word,law,3096
word,buddha,1839
word,good,1533
tathâgata,word,3126
word,world,2387
koti,word,1506
be,word,1213
creatur,word,1028
word,young,1384
famili,word,1022
tathâgata,young,8950
famili,tathâgata,6399
tathâgata,teach,1904
young,time,2529
lord,young,10817
monk,young,2012
knowledg,young,1648
young,like,1330
great,young,4207
have,young,1733
reach,young,1204
exist,young,1124
mind,young,1099
perfect,young,2393
possess,young,1057
young,discipl,1449
thousand,young,5425
suprem,young,1903
young,enlighten,3193
young,law,5980
buddha,young,3562
young,good,8223
bodi,young,1593
young,world,5582
myriad,young,2170
koti,young,3957
be,young,2522
avalokitesvara,young,1970
bhaishagyarâga,young,1914
men,young,4572
god,young,1747
young,follow,1837
king,young,3112
young,son,1759
young,honour,1141
worship,young,1413
dharmaparyâya,young,4113
young,medit,1613
appear,young,1045
young,live,1226
preach,young,1703
jewel,young,1239
young,extinct,1640
produc,young,1274
power,young,1287
let,young,1528
young,see,1013
stanza,young,1485
creatur,young,2012
merit,young,1514
hear,young,2605
sand,young,1271
gang,young,1162
young,think,1358
hand,young,1333
true,young,2244
complet,young,1292
young,young,4905
famili,young,6481
famili,men,3169
famili,good,5819
famili,time,1759
famili,lord,7514
famili,monk,1143
famili,knowledg,1055
famili,great,2859
famili,have,1149
famili,perfect,1569
famili,discipl,1045
famili,thousand,3720
famili,suprem,1268
famili,enlighten,2168
famili,law,4183
famili,buddha,2464
famili,bodi,1172
famili,world,3976
famili,myriad,1515
famili,koti,2643
famili,be,1610
famili,avalokitesvara,1597
famili,bhaishagyarâga,1216
famili,god,1176
famili,follow,1277
famili,king,1747
famili,son,1252
famili,dharmaparyâya,2808
famili,preach,1239
famili,extinct,1265
famili,let,1021
famili,creatur,1516
famili,hear,1611
famili,true,1603
famili,famili,2340
teach,lord,1950
monk,teach,1139
thousand,teach,1207
teach,enlighten,1125
teach,law,1913
teach,buddha,1221
teach,world,1452
koti,teach,1156
dai,law,2801
dai,great,1545
law,similar,1101
dai,tathâgata,2406
tathâgata,similar,1015
men,dai,1028
deliv,law,1154
dai,lord,3301
monk,dai,1642
sâriputra,dai,1045
dai,thousand,1611
dai,bodhisattva,1520
dai,enlighten,1569
dai,buddha,1757
dai,world,2119
dai,koti,1478
be,dai,1222
lord,similar,1250
bodhisattva,similar,1087
tathâgata,deliv,1011
deliv,lord,1189
wish,law,1078
occas,law,2119
tathâgata,occas,2020
wish,lord,1128
occas,world,1665
great,occas,1189
occas,lord,2551
monk,occas,1256
thousand,occas,1316
bodhisattva,occas,1268
occas,enlighten,1157
occas,buddha,1347
koti,occas,1219
be,occas,1014
young,æon,1661
men,æon,1971
men,long,1017
good,æon,1817
famili,æon,1100
lord,immens,1805
bodhisattva,immens,1135
law,immens,1208
tathâgata,immens,1354
immens,world,1076
time,æon,1428
lord,æon,5547
monk,æon,2969
knowledg,æon,1478
great,æon,2574
reach,æon,1111
perfect,æon,1494
æon,discipl,1015
sâriputra,æon,1108
thousand,æon,3166
bodhisattva,æon,3134
suprem,æon,1485
enlighten,æon,2681
law,æon,4080
buddha,æon,2654
tathâgata,æon,4569
æon,world,3698
myriad,æon,1547
koti,æon,2981
be,æon,1986
mahâsattva,æon,1037
god,æon,1210
æon,follow,1186
brahma,æon,1159
creatur,æon,1132
vehicl,æon,1074
hear,æon,1065
long,lord,3396
monk,long,1706
long,great,1488
long,thousand,1541
long,bodhisattva,1427
long,enlighten,1474
long,law,2398
long,buddha,1431
long,tathâgata,2385
long,world,1930
long,koti,1402
be,long,1118
form,lord,1494
pure,lord,1089
middl,law,1079
form,law,1393
pure,law,1243
form,tathâgata,1388
form,world,1110
lord,truth,1179
bodhisattva,truth,1110
tathâgata,truth,1006
death,lord,1076
agita,young,1040
agita,lord,1237
great,agita,1154
thousand,agita,1403
bodhisattva,agita,1718
agita,law,1258
koti,agita,1199
law,life,1562
lord,life,1949
tathâgata,life,1505
great,life,1037
thousand,life,1290
bodhisattva,life,1359
buddha,life,1001
life,world,1292
koti,life,1167
saw,lord,1242
preacher,lord,1559
bodhisattva,preacher,1178
preacher,law,1195
lotu,lord,4648
kalpa,lord,2290
lotu,bodhisattva,3457
kalpa,bodhisattva,1120
lord,continu,1712
dharmaparyâya,lotu,1548
lotu,monk,1297
lotu,great,1738
lotu,thousand,2150
lotu,enlighten,1071
lotu,law,3042
lotu,buddha,1576
lotu,good,1734
lotu,tathâgata,3489
lotu,world,2256
lotu,koti,1297
lotu,be,1047
lotu,mahâsattva,1759
lotu,men,1008
lotu,true,1449
lotu,young,1852
lotu,famili,1347
kalpa,law,1860
continu,law,1478
law,listen,1006
kalpa,monk,1372
kalpa,great,1343
kalpa,thousand,1375
kalpa,enlighten,1029
kalpa,buddha,1463
kalpa,tathâgata,1440
kalpa,world,1522
kalpa,koti,1197
buddha,continu,1012
tathâgata,continu,1295
continu,world,1119
includ,law,1756
includ,buddha,1097
includ,world,1439
includ,lord,2021
includ,thousand,1030
includ,tathâgata,1605
name,law,1863
bodhisattva,seen,1240
law,seen,1398
name,lord,2718
monk,name,2041
great,name,1271
thousand,name,1370
name,enlighten,1196
name,buddha,1052
tathâgata,name,1972
name,world,1751
koti,name,1251
be,name,1107
lord,seen,2053
thousand,seen,1017
tathâgata,seen,1520
world,seen,1216
lord,utter,2363
lord,past,1188
lord,period,2067
law,utter,2360
law,past,1002
law,period,1755
great,utter,1136
thousand,utter,1207
bodhisattva,utter,1722
enlighten,utter,1163
buddha,utter,1573
tathâgata,utter,2113
world,utter,1760
koti,utter,1130
tathâgata,past,1001
thousand,period,1008
bodhisattva,period,1132
buddha,period,1103
tathâgata,period,1463
period,world,1219
law,number,1705
lord,number,2412
monk,number,1169
great,number,1019
thousand,number,1233
bodhisattva,number,1348
enlighten,number,1119
buddha,number,1145
tathâgata,number,1880
number,world,1487
koti,number,1138
sûtra,great,2200
sage,law,1119
monk,sûtra,1403
sûtra,lord,4595
sûtra,world,3461
sûtra,law,4482
sûtra,thousand,2200
sûtra,koti,2005
be,sûtra,1799
sûtra,time,1405
sûtra,knowledg,1041
sûtra,perfect,1422
sâriputra,sûtra,1457
sûtra,bodhisattva,3065
sûtra,suprem,1257
sûtra,enlighten,1921
sûtra,buddha,2565
sûtra,good,1646
sûtra,bodi,1152
sûtra,tathâgata,4361
men,sûtra,1495
sûtra,god,1260
dharmaparyâya,sûtra,1706
sûtra,preach,1452
sûtra,jewel,1059
sûtra,extinct,1123
creatur,sûtra,1146
sûtra,vehicl,1424
sûtra,hear,1519
true,sûtra,1093
sûtra,young,1486
sûtra,sûtra,1036
seer,law,1615
seer,lord,1721
seer,tathâgata,1424
seer,world,1259
manifest,law,1290
occupi,lord,1464
occupi,law,1218
occupi,tathâgata,1193
devot,lord,1032
give,lord,1162
give,law,1402
mighti,law,1150
mighti,lord,1536
bodhisattva,mighti,1003
tathâgata,mighti,1090
mighti,world,1039
weal,law,1140
lord,treasur,1180
weal,lord,1085
tathâgata,weal,1012
natur,law,1247
lord,appli,1035
lord,rare,1020
men,said,1310
koti,said,1326
be,said,1188
king,said,1159
said,lord,4999
monk,said,1080
said,great,1415
said,thousand,1883
said,bodhisattva,2832
said,enlighten,1281
said,law,3153
said,buddha,1748
said,good,1860
said,tathâgata,3470
said,world,2602
said,mahâsattva,1493
said,young,1980
famili,said,1287
lord,burn,1472
sâriputra,burn,1276
law,burn,1256
burn,world,1312
vehicl,burn,1081
thousand,went,1055
lord,went,2237
monk,went,1216
law,went,1488
tathâgata,went,1624
world,went,1217
lord,kind,1182
law,kind,1409
tathâgata,kind,1105
kind,world,1032
lord,pronounc,1205
lord,skil,1386
sâriputra,skil,1588
law,skil,2047
buddha,skil,1538
tathâgata,skil,1463
skil,world,1314
declar,lord,1248
declar,law,1227
declar,tathâgata,1288
speak,law,2893
speak,world,2168
speak,lord,2504
speak,great,1130
speak,sâriputra,1439
speak,thousand,1168
speak,bodhisattva,1247
speak,enlighten,1409
speak,buddha,1711
speak,tathâgata,2540
speak,koti,1179
speak,be,1141
speak,men,1174
speak,creatur,1061
lord,difficult,2422
buddha,difficult,1499
tathâgata,difficult,2267
thousand,difficult,1115
enlighten,difficult,1137
law,difficult,2495
mysteri,law,1271
tathâgata,innumer,1443
innumer,law,1401
innumer,lord,1597
buddha,innumer,1070
thousand,innumer,1013
innumer,world,1127
difficult,world,1716
receiv,law,1122
law,stage,1048
receiv,lord,1484
real,law,1003
lord,incalcul,1137
tathâgata,reflect,1104
reflect,law,1238
lord,reflect,1376
reflect,world,1028
tathâgata,manner,1358
law,manner,1391
lord,manner,1645
manner,world,1154
second,lord,1649
second,world,1241
second,tathâgata,1466
second,law,1571
second,monk,1155
lord,believ,1196
lord,accept,1377
tathâgata,believ,1339
law,believ,1360
world,believ,1026
bodhisattva,believ,1019
tathâgata,accept,1202
law,accept,1308
come,law,4006
lord,come,5130
come,time,1260
sâriputra,come,1598
come,world,3555
monk,come,1833
buddha,come,2248
knowledg,come,1429
tathâgata,come,3937
thousand,come,2127
myriad,come,1015
koti,come,1971
suprem,come,1074
come,enlighten,1988
creatur,come,1117
great,come,2254
men,come,1551
good,come,1459
bodhisattva,come,3058
be,come,1763
preach,come,1106
vehicl,come,1475
reach,come,1010
law,equal,2152
lord,equal,3066
buddha,equal,1372
tathâgata,equal,2388
thousand,equal,1642
koti,equal,1398
equal,enlighten,1281
great,equal,1413
equal,world,2027
good,equal,1403
bodhisattva,equal,2890
high,lord,1876
high,law,1390
high,buddha,1031
high,tathâgata,1379
high,thousand,1047
high,world,1300
tathâgata,salut,1650
salut,law,1156
salut,lord,2101
salut,world,1110
bodhisattva,salut,1171
lord,awai,1032
right,law,1419
right,tathâgata,1456
right,lord,1650
right,world,1091
sole,law,1092
sâriputra,sole,1000
disposit,law,1368
tathâgata,disposit,1078
lord,disposit,1534
disposit,world,1014
hear,come,1062
view,world,1177
tathâgata,view,1290
law,view,1537
lord,view,1313
poor,lord,2097
poor,son,1358
tathâgata,perceiv,1421
perceiv,law,1680
lord,perceiv,1672
perceiv,world,1250
lord,vow,1074
merit,man,1227
hear,man,3329
law,man,7542
sâriputra,man,1688
man,medit,1080
buddha,man,4206
knowledg,man,2385
man,discipl,1894
tathâgata,man,7287
worship,man,1080
thousand,man,3747
myriad,man,1431
koti,man,3078
cours,man,1204
suprem,man,1898
complet,man,1324
man,enlighten,3274
man,æon,1433
possess,man,1211
man,mean,1054
abl,man,1259
creatur,man,1844
perfect,man,2075
power,man,1299
mind,man,1496
let,man,1336
know,man,1709
man,like,1962
lord,man,10808
man,follow,1681
stanza,man,1267
great,man,4807
man,world,6249
god,man,1603
men,man,2504
good,man,5106
bodhisattva,man,8449
exist,man,1095
man,gina,1147
be,man,3044
have,man,1752
preach,man,2443
vehicl,man,2241
long,man,1299
reach,man,1681
nirvâna,man,1380
monk,man,1563
said,man,1183
word,man,1302
feel,man,1199
son,man,3304
hand,man,1102
king,man,1369
think,man,2026
man,time,3057
man,live,1489
come,man,1794
man,equal,1206
man,see,1331
bodi,man,1750
disposit,man,1042
poor,man,2086
call,man,1213
man,extinct,1248
sûtra,man,1755
man,man,4510
devic,tathâgata,1377
devic,law,1482
devic,lord,1795
devic,world,1401
blind,law,1523
blind,world,1001
law,peopl,1123
lord,peopl,1349
lord,perform,1182
gold,man,1376
sâriputra,boi,1528
buddha,boi,1162
tathâgata,boi,1177
law,boi,1605
lord,boi,1846
great,boi,1024
boi,world,1566
vehicl,boi,1223
jewel,man,1661
man,place,1307
celebr,tathâgata,1035
celebr,lord,1355
monk,celebr,1133
homag,lord,1125
man,honour,1136
seek,lord,1080
pain,law,1322
compass,law,1304
sâriputra,pain,1094
tathâgata,pain,1154
pain,lord,1525
pain,world,1304
tathâgata,compass,1256
lord,compass,1615
compass,world,1033
foot,tathâgata,1230
foot,law,1103
foot,lord,1409
man,year,1184
face,thousand,1551
face,koti,1365
face,enlighten,1289
face,law,2117
face,buddha,1052
face,tathâgata,2260
face,lord,3013
face,great,1383
face,world,1832
face,bodhisattva,1108
face,be,1192
face,monk,2047
tathâgata,river,1722
river,lord,2443
river,law,1209
bodhisattva,river,2119
river,world,1260
law,void,1034
thousand,river,1119
rich,lord,1473
work,tathâgata,1067
work,lord,1532
work,law,1005
young,equal,1352
young,come,1165
mahâsattva,equal,1333
mahâsattva,come,1180
bodhisattva,shape,1601
tell,lord,1180
lord,shape,1535
mahâsattva,shape,1266
sâriputra,hous,2281
town,lord,1000
great,hous,1613
hous,lord,2926
hous,law,2266
bodhisattva,hous,1432
hous,buddha,1712
tathâgata,hous,1608
knowledg,hous,1104
hous,vehicl,1899
be,hous,1139
hous,world,2267
hous,man,1786
hous,boi,1069
mass,lord,2024
mass,law,1520
mass,bodhisattva,1041
mass,tathâgata,1328
mass,great,1039
mass,world,1483
true,man,1613
lotu,man,1125
man,field,1012
rich,man,1121
man,food,1050
young,man,4929
mahâsattva,man,4669
hither,lord,1039
lord,father,2634
law,father,1437
bodhisattva,father,1241
tathâgata,father,1593
son,father,1088
world,father,1376
good,father,1015
young,father,1175
man,father,1635
cart,sâriputra,1111
cart,lord,1103
cart,world,1006
sit,man,1143
mount,lord,1153
magic,tathâgata,1698
magic,lord,2381
magic,law,1486
magic,bodhisattva,1383
magic,great,1000
